id,name,game_slug,price,release_date,platform,description,developer,publisher,genres
d3d423fc1a58400fb08443c9942756af,Let's Build A Zoo,lets-build-a-zoo,1999,2021-11-05T16:00:00.000Z,Windows,"It's time to build a zoo! Let out your wild side, and create your own animal empire with this cute, expansive management sim. Import and breed rare creatures, hire the right staff, keep your visitors happy, and deal with plenty of weird and wonderful events.",Springloaded,No More Robots,"SIMULATION,CITY_BUILDER,STRATEGY"
385e723a8854456da61b9dd9bc542513,Football Manager 2022,football-manager-2022,5499,2021-11-08T20:00:00.000Z,,"No game takes you closer to the dream of being a real football manager.   FM22 brings new ways to find a winning edge, instil your footballing style and earn it for the fans.",,,
47dfc9b69a9f44a5a47fa3d182f4d599,Jurassic World Evolution 2,jurassic-world-evolution-2,5999,2021-11-09T14:00:00.000Z,,"Jurassic World Evolution 2 is the much-anticipated sequel to Frontier’s highly successful Jurassic World Evolution, building upon the groundbreaking and immersive 2018 management simulation.",,,
e73c6b914a394bbface8847d75879492,Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,tiny-tinas-assault-on-dragon-keep-a-wonderlands-one-shot-adventure,999,2021-11-09T16:00:00.000Z,Windows,"Smash skeletons, defeat dragons, and battle giant golems in Tiny Tina's Assault on Dragon Keep: A Wonderlands One-Shot Adventure. Experience the acclaimed 2013 quest jam-packed with fantasy, fun, and mountains of magical loot!
","Gearbox Software,Stray Kite Studios",2K,"ADVENTURE,RPG,SINGLE_PLAYER"
c40fb8828f6b45e1ac511f2cc5db9dc2,Defend the Rook,defend-the-rook,1799,2021-11-11T15:20:00.000Z,,Defend the Rook is a roguelike tactics board combat combined with tower defense elements. Defeat the invading hordes to stay alive and save the land! ,,,"TURN_BASED,STRATEGY,FANTASY,SINGLE_PLAYER"
bb04b2f296104e32b70df72c2ce0634b,Moonglow Bay,moonglow-bay,2499,2021-11-11T17:00:00.000Z,Windows,"In Moonglow Bay, you play as a rookie angler, working together with friends, family, and neighbours to hone your fishing skills, nourish relationships, and restore a remote town’s fractured community.",,,"INDIE,RPG,ADVENTURE"
202087228093485b81bfda40ce9dbe48,Lifeslide,lifeslide,999,2021-11-15T19:00:00.000Z,Windows,Embark on an atmospheric paper plane flight adventure through life and master a unique flight mechanic as you travel through an ever-changing landscape towards your destination.,Dreamteck,Dreamteck,"ADVENTURE,ARCADE,INDIE"
8f58067d08bb454ab0eb8907345b8c76,The Last Stand: Aftermath,the-last-stand-aftermath,2499,2021-11-16T15:00:00.000Z,Windows,"From the creators of The Last Stand: Union City comes a new singleplayer rogue-lite action adventure. After you are infected by the zombie virus, set out to explore the apocalypse and find hope for your colony. You can make a difference. Don't give up.",,,"ACTION,ROGUE_LIKE,SHOOTER"
06722250068b4161a0ec25e86be99061,Sherlock Holmes Chapter One,sherlock-holmes-chapter-one,4499,2021-11-16T16:00:00.000Z,Windows,"In this story-driven detective thriller, a young Sherlock Holmes struggles to prove himself as he navigates an exotic, dangerous island in the Mediterranean to investigate the mystery of his mother’s death.",Frogwares,Frogwares,"ACTION,INVESTIGATION,ADVENTURE"
47f7eae1eb544562986e3081400d1764,Ruined King: A League of Legends Story™,ruined-king-a-league-of-legends-story,2999,2021-11-16T16:30:00.000Z,Windows,"Rise Against Ruin - Unite a party of League of Legends Champions, explore Bilgewater and set sail for the Shadow Isles to uncover the secrets of the deadly Black Mist in this immersive turn-based RPG.",Airship Syndicate,Riot Forge,"RPG,INDIE,TURN_BASED"
a764a316f8e64e35854a78138b89f908,Hextech Mayhem: A League of Legends Story™,hextech-mayhem-a-league-of-legends-story,999,2021-11-16T16:30:00.000Z,,"In this fast-paced rhythm runner, every action has an explosive reaction and no amount of mayhem is too much. Take on the role of Hexplosives expert Ziggs as you rampage through the neighborhoods of Piltover!",,,
b9fc967981994ee2a546152e62634076,Surviving the Aftermath,surviving-the-aftermath,2999,2021-11-16T17:00:00.000Z,Windows,"Survive and thrive in a post-apocalyptic future — resources are scarce, but opportunity calls! Build the ultimate disaster proof colony, protect your colonists, and restore civilization to a devastated world.",Iceflake Studios Oy,Paradox Interactive AB,"STRATEGY,CITY_BUILDER,SIMULATION"
42cc3b0d2bd7413db19fc3d8dcee436a,Exo One,exo-one,1699,2021-11-18T15:00:00.000Z,Windows,"A strange signal... an alien craft... Exo One is a gravity-defying, interplanetary journey through space and time.  Master a truly alien traversal system and move through enigmatic and desolate alien landscapes in ways you've never experienced.",,,
fc75b7c573c64c24a937823183f8468e,Guild of Dungeoneering Ultimate Edition,guild-of-dungeoneering-ultimate-edition,1999,2021-11-18T16:00:00.000Z,,"Now fully rebuilt and remastered, Guild of Dungeoneering Ultimate Edition is a turn-based dungeon crawler with a twist: instead of controlling the hero you build the dungeon around them. ",,,"CARD_GAME,DUNGEON_CRAWLER,ROGUE_LIKE"
0cd43717a2224f33bb9a95f01d303474,Never Alone (Kisima Ingitchuna),never-alone-kisima-ingitchuna,1499,2021-11-18T16:00:00.000Z,Windows,Experience the epic journey of Nuna and Fox as they search for the source of an eternal blizzard that threatens the survival of everything they have ever known.,"Upper One Games, E-Line Media",E-Line Media,"CO_OP,INDIE,PLATFORMER"
9b751945c64c46ce8d05500913fd0c2f,Antstream Arcade,antstream-arcade,0,2021-11-18T16:00:00.000Z,"Windows,Mac","Unlimited Retro Games all in one place! With over 1000 titles available, Antstream Arcade is the Biggest Retro Gaming cloud platform. A unique modern experience to retro games with many integrated features such as Challenges, Multiplayer and Tournaments.",,,
